index,alias,name,is_closed,review_count,categories,rating,latitude,longitude,price,city,country,state,display_phone,distance
84,barrilde-chopp-macapá-2,Barrilde Chopp,False,0,Bars; American (Traditional),0.0,0.04769,-51.0571213,,Macapá,BR,AP,,8498.582693129638
85,cantinho-baiano-restaurante-macapá,Cantinho Baiano Restaurante,False,0,Restaurants,0.0,0.0506107,-51.0419974,$$,Macapá,BR,AP,+55 96 3223-4153,8375.143666398242
86,cervejaria-e-churrascaria-café-do-gol-macapá,Cervejaria & Churrascaria Café do Gol,False,0,Restaurants,0.0,0.08592,-51.0638695,,Macapá,BR,AP,+55 96 3223-4258,4124.992087510211
87,philippe-jean-paul-marceau-delahaye-macapá,Philippe Jean Paul Marceau Delahaye,False,0,Restaurants,0.0,0.022283,-51.0610924,,Macapá,BR,AP,+55 96 3223-4211,9695.643148729485
88,delícia-saudável-macapá,Delícia Saudável,False,0,Restaurants,0.0,0.0542521,-51.0551071,,Macapá,BR,AP,+55 96 3222-0556,7047.241671283463
89,restaurante-carne-de-sol-dos-amigos-macapá,Restaurante Carne de Sol dos Amigos,False,0,Restaurants,0.0,0.0546879,-51.0521469,,Macapá,BR,AP,+55 96 3217-2382,7250.858551560845
90,dona-leila-restaurante-macapá,Dona Leila Restaurante,False,0,Restaurants,0.0,0.034387,-51.0488014,,Macapá,BR,AP,+55 96 3224-3274,8652.552692549343
91,chalé-restaurante-macapá,Chalé Restaurante,False,0,Restaurants,0.0,0.039276,-51.0696754,,Macapá,BR,AP,+55 96 3222-1970,7594.072850428965
92,galetos-grill-macapá,Galetos Grill,False,0,Restaurants,0.0,0.0425509,-51.0635338,,Macapá,BR,AP,+55 96 3224-2155,7563.068510833046
93,restaurante-carne-de-sol-macapá,Restaurante Carne de Sol,False,0,Restaurants,0.0,0.022703,-51.0711555,,Macapá,BR,AP,+55 96 3242-8302,9247.485741381022
94,restaurante-coma-bem-kilos-macapá,Restaurante Coma Bem Kilo's,False,0,Restaurants,0.0,0.0328986,-51.0605927,,Macapá,BR,AP,+55 96 3223-9855,8661.912119140341
95,restaurante-minerin-uai-sô-macapá,Restaurante Minerin Uai Sô,False,1,Restaurants,2.0,0.011336,-51.0625494,,Macapá,BR,AP,+55 96 3241-5550,10761.89064849306
96,restaurante-bambu-bar-macapá,Restaurante Bambu Bar,False,0,Restaurants,0.0,-0.0492322,-51.1151009,,Macapá,BR,AP,+55 96 3227-3242,7116.22125676641
97,pizzaria-água-na-boca-macapá,Pizzaria Água Na Boca,False,0,Pizza,0.0,0.0387666,-51.0624886,,Macapá,BR,AP,+55 96 3222-7772,8008.395454781763
98,barrilde-chopp-macapá,Barrilde Chopp,False,0,American (Traditional); Bars,0.0,0.0388796,-51.071106,,Macapá,BR,AP,,8639.38820205652
99,aylas-bolos-decorados-macapá,Ayla's Bolos Decorados,False,0,Buffets,0.0,0.05078,-51.0608482,,Macapá,BR,AP,+55 96 4141-0590,6947.451829027884
100,r-c-rocha-e-cia-macapá,R C Rocha &cia,False,0,Diners,0.0,0.0349089,-51.0622177,,Macapá,BR,AP,+55 96 3222-1243,8385.392532492257
101,bobs-macapá,Bobs,False,0,Diners,0.0,0.0349089,-51.0622177,,Macapá,BR,AP,+55 96 3217-2174,8385.392532492257
102,o-q-dos-santos-macapá,O Q dos Santos,False,0,Diners,0.0,0.0339599996805191,-51.0666007995605,,Macapá,BR,AP,+55 96 3251-6727,8218.601740980055
103,casa-do-pão-de-queijo-macapá-2,Casa do Pão de Queijo,False,0,Diners,0.0,0.0349089,-51.0622177,,Macapá,BR,AP,+55 96 3217-2352,8385.392532492257
104,forte-lanche-macapá,Forte Lanche,False,0,Diners,0.0,0.0499211,-51.0421181,,Macapá,BR,AP,+55 96 3225-2823,8218.601740980055
105,casa-do-pão-de-queijo-macapá,Casa do Pão de Queijo,False,0,Diners,0.0,0.03671,-51.0704308,,Macapá,BR,AP,+55 96 3223-4399,7817.628239851372
106,bar-e-restaurante-gogo-de-ouro-macapá,Bar e Restaurante Gogo de Ouro,False,0,Restaurants,0.0,0.03074,-51.0789185,,Macapá,BR,AP,+55 96 3242-0052,8149.364000363611
107,restaurante-e-peixaria-mateus-macapá,Restaurante e Peixaria Mateus,False,0,Restaurants,0.0,0.0378539,-51.0619812,,Macapá,BR,AP,+55 96 3223-7787,8128.510843376092
108,café-torrado-cafeteria-macapá,Café Torrado Cafeteria,False,0,,0.0,0.0496339,-51.0422211,,Macapá,BR,AP,+55 96 3222-6884,8422.297736653041
109,espaço-livre-restaurante-macapá,Espaço Livre Restaurante,False,0,Restaurants,0.0,0.0363595,-51.0556374,,Macapá,BR,AP,+55 96 3243-1565,8598.642458239503
110,pousada-e-restaurante-vista-amazônica-macapá,Pousada e Restaurante Vista Amazônica,False,0,Restaurants,0.0,0.05269,-51.0413895,,Macapá,BR,AP,+55 96 3222-6851,8282.121007409718
111,comercial-nogueira-macapá-2,Comercial Nogueira,False,0,Restaurants,0.0,0.0385601,-51.0547867,,Macapá,BR,AP,+55 96 3222-3236,8469.329871975584
112,silva-e-silvaepp-macapá,Silva & Silvaepp,False,0,Restaurants,0.0,-0.05497,-51.1117516,,Macapá,BR,AP,+55 96 3222-7253,8291.41911739195
113,restaurante-bolinha-macapá,Restaurante Bolinha,False,0,Restaurants,0.0,0.0375968,-51.0529022,,Macapá,BR,AP,+55 96 3223-2035,8674.0023204012
114,mister-grill-macapá,Mister Grill,False,0,Restaurants,0.0,0.0334835,-51.0561409,,Macapá,BR,AP,+55 96 3222-5953,8838.599405667019
115,sarney-lanches-macapá,Sarney Lanches,False,0,Restaurants,0.0,0.0377713,-51.0548477,,Macapá,BR,AP,+55 96 3223-7557,8535.048053474851
116,restaurante-palmistes-macapá,Restaurante Palmistes,False,0,Restaurants,0.0,0.0504093,-51.0419426,,Macapá,BR,AP,+55 96 3227-1400,8379.78000161625
117,choppicanha-choperia-e-churrascaria-macapá,Choppicanha Choperia e Churrascaria,False,0,Restaurants,0.0,0.0348645,-51.0596581,,Macapá,BR,AP,+55 96 3223-7476,8508.187537636271
118,tchoy-restaurante-oriental-macapá,Tchoy Restaurante Oriental,False,0,Restaurants,0.0,0.031892,-51.0645142,,Macapá,BR,AP,+55 96 3222-2124,8588.18582476579
119,panela-de-barro-macapá,Panela de Barro,False,0,Restaurants,0.0,0.0507109,-51.0418358,,Macapá,BR,AP,+55 96 3224-2121,8363.614901378805
120,café-aymoré-macapá,Café Aymoré,False,0,Restaurants,0.0,0.0397944,-51.0567932,,Macapá,BR,AP,+55 96 3223-2328,8213.385027428298
121,rods-bar-e-restaurante-macapá,Rod's Bar e Restaurante,False,0,Restaurants,0.0,0.0493898,-51.0423088,,Macapá,BR,AP,+55 96 3241-5665,8760.350513710275
122,churrascaria-grill-do-pará-macapá,Churrascaria Grill do Pará,False,0,Restaurants,0.0,0.0320291,-51.0624275,,Macapá,BR,AP,+55 96 3222-7799,8662.110553649878
123,s-a-kilos-e-assados-macapá,S A Kilos e Assados,False,0,Restaurants,0.0,0.0360053,-51.064209,,Macapá,BR,AP,+55 96 3223-1111,8170.470776888889
124,restaurante-só-assados-macapá,Restaurante Só Assados,False,0,Restaurants,0.0,0.0324368,-51.0760307,,Macapá,BR,AP,+55 96 3223-2381,8036.4631386702595
125,sagrada-família-restaurante-macapá,Sagrada Família Restaurante,False,0,Restaurants,0.0,0.0361872,-51.0741463,,Macapá,BR,AP,+55 96 3242-0300,7726.98996051737
126,churrascaria-santa-rita-macapá,Churrascaria Santa Rita,False,0,Restaurants,0.0,0.0353832,-51.076252,,Macapá,BR,AP,+55 96 3223-0670,7737.639565199685
127,oceanic-restaurante-macapá,Oceanic Restaurante,False,0,Restaurants,0.0,0.05269,-51.0413895,,Macapá,BR,AP,+55 96 3222-6986,7958.943195391248
128,cantina-italiana-macapá,Cantina Italiana,False,0,Restaurants,0.0,0.0365905,-51.0709724,,Macapá,BR,AP,+55 96 3225-1803,7796.688260722894
129,bar-e-restaurante-bom-clima-macapá,Bar e Restaurante Bom Clima,False,0,Restaurants,0.0,0.05269,-51.0413895,,Macapá,BR,AP,+55 96 3222-7126,7958.943195391248
130,restaurante-dom-garcia-macapá,Restaurante Dom Garcia,False,0,Restaurants,0.0,0.03287,-51.1164017,,Macapá,BR,AP,+55 96 3261-1225,8027.320579091643
131,trapiche-restaurante-macapá,Trapiche Restaurante,False,0,Restaurants,0.0,0.05269,-51.0413895,,Macapá,BR,AP,+55 96 3225-2665,7958.943195391248
132,salgadinho-lanches-macapá,Salgadinho Lanches,False,0,Diners,0.0,0.0495208,-51.0602531,,Macapá,BR,AP,+55 96 3223-7325,7100.999115509164
133,moraes-e-santos-promoções-e-eventos-comerciais-macapá,Moraes e Santos Promoções e Eventos Comerciais,False,0,Restaurants,0.0,0.0344428,-51.0538559,,Macapá,BR,AP,+55 96 3223-3841,8892.454998174308
134,churrascaria-e-pizzaria-do-goiano-macapá,Churrascaria e Pizzaria do Goiano,False,0,Steakhouses,0.0,0.0356055,-51.0530434,,Macapá,BR,AP,+55 96 3225-3192,8858.539361180388
135,x-do-sul-lanches-macapá,X do Sul Lanches,False,0,Diners,0.0,0.0249219,-51.0613899,,Macapá,BR,AP,+55 96 3243-0075,9306.930516661703
136,estrela-de-davi-sorveteria-e-pizzaria-macapá,Estrela de Davi Sorveteria e Pizzaria,False,0,Italian,0.0,0.034968,-51.0516382,,Macapá,BR,AP,+55 96 3223-7744,8991.075538827014
137,bambino-restaurante-macapá,Bambino Restaurante,False,0,Restaurants,0.0,0.0196245,-51.0728989,,Macapá,BR,AP,+55 96 3242-9313,9525.273094925702
138,restaurante-frigideira-macapá,Restaurante Frigideira,False,0,Restaurants,0.0,0.0334389,-51.0488472,,Macapá,BR,AP,+55 96 3222-7930,9324.42009151652
139,prato-de-barro-eventos-e-recepções-macapá,Prato de Barro Eventos e Recepções,False,0,Buffets,0.0,0.0497796,-51.0539246,,Macapá,BR,AP,+55 96 3222-8182,7535.169991362003
140,khristal-recepções-macapá,Khristal Recepções,False,0,Buffets,0.0,0.0401462,-51.0693817,,Macapá,BR,AP,+55 96 3223-1832,7521.14777560672
141,são-josé-lanches-macapá,São José Lanches,False,0,Diners,0.0,0.03766,-51.0611916,,Macapá,BR,AP,+55 96 3223-5189,8133.789499919791
142,waldir-buffet-macapá,Waldir Buffet,False,0,Buffets,0.0,0.0455604,-51.0566635,,Macapá,BR,AP,+55 96 3223-1109,7691.886622338306
143,divina-arte-macapá,Divina Arte,False,0,Buffets,0.0,0.0380108,-51.0578537,,Macapá,BR,AP,+55 96 3222-1877,8328.494411235808
144,reginis-buffet-macapá,Regini's Buffet,False,0,Buffets,0.0,0.0424746,-51.0544624,,Macapá,BR,AP,+55 96 3225-5626,8147.2429933095555
145,restaurante-chão-do-nordeste-macapá,Restaurante Chão do Nordeste,False,0,Restaurants,0.0,0.018634,-51.0569229,,Macapá,BR,AP,+55 96 3222-6777,10285.065417150114
146,aconchego-restaurante-peixaria-macapá,Aconchego Restaurante Peixaria,False,0,Restaurants,0.0,0.0181426,-51.0569496,,Macapá,BR,AP,+55 96 3222-7130,10310.95303424435
147,elizete-buffet-e-eventos-macapá,Elizete Buffet e Eventos,False,0,Buffets,0.0,0.0318434,-51.0569458,,Macapá,BR,AP,+55 96 3251-5984,8218.601740980055
148,bolo-da-maria-buffet-macapá,Bolo da Maria Buffet,False,0,Buffets,0.0,0.0245343,-51.0859108,,Macapá,BR,AP,+55 96 3242-2558,8669.982848471474
149,doce-vida-macapá,Doce Vida,False,0,Buffets,0.0,0.0338704,-51.0598335,,Macapá,BR,AP,+55 96 3224-2484,8595.489104086208
150,doçuras-confeitaria-macapá,Doçuras Confeitaria,False,0,Buffets,0.0,0.0411181,-51.0597725,,Macapá,BR,AP,+55 96 3217-0800,7939.508607745411
151,bodega-dellivery-macapá,Bodega Dellivery,False,0,Pizza,0.0,0.0525579,-51.0608521,,Macapá,BR,AP,+55 96 3223-5450,6812.839179525417
152,tenda-da-dedeka-macapá,Tenda da Dedeka,False,0,Diners,0.0,0.05269,-51.0413895,,Macapá,BR,AP,+55 96 3224-2060,8317.113944210889
153,lanche-dias-macapá,Lanche Dias,False,0,Diners,0.0,0.0290682,-51.0774956,,Macapá,BR,AP,+55 96 3242-3118,8374.3855281305
154,mister-x-macapá,Mister X,False,0,Diners,0.0,0.038333,-51.0545349,,Macapá,BR,AP,+55 96 3223-8424,8497.752322407337
155,bizzum-da-pizza-macapá,Bizzum da Pizza,False,0,Pizza,0.0,0.0490778,-51.0608139,,Macapá,BR,AP,+55 96 3222-4171,7113.228278858214
156,status-buffet-macapá,Status Buffet,False,0,Buffets,0.0,0.0241505,-51.0572205,,Macapá,BR,AP,+55 96 3223-6469,9708.761157935363
157,lanchonete-a-moderninha-macapá,Lanchonete A Moderninha,False,0,Diners,0.0,0.0362671,-51.0504494,,Macapá,BR,AP,+55 96 3222-7698,8964.221147337796
158,esquina-grill-macapá,Esquina Grill,False,0,Buffets,0.0,0.010225,-51.0745964,,Macapá,BR,AP,+55 96 3242-3644,10552.316243328492
159,tuti-frutti-macapá,Tuti Frutti,False,0,Diners,0.0,0.0488303,-51.0425339,,Macapá,BR,AP,+55 96 3225-3360,9604.54606453136
160,cia-paulista-de-pizza-macapá,Cia Paulista de Pizza,False,0,Pizza,0.0,0.0409931,-51.0526466,,Macapá,BR,AP,+55 96 3223-9595,8385.830941443557
